Run,RunSeed,RunMinDistance_DRAMPPI,RunMinDistance_DRMPPI,RunMinDistance_MPPI,RunMinDistance_RAMPPI,SafetyViolation_DRAMPPI,SafetyViolation_DRMPPI,SafetyViolation_MPPI,SafetyViolation_RAMPPI,Collision_DRAMPPI,Collision_DRMPPI,Collision_MPPI,Collision_RAMPPI,TotalQSigmaInvStageCost_DRAMPPI,TotalQSigmaInvStageCost_DRMPPI,TotalQSigmaInvStageCost_MPPI,TotalQSigmaInvStageCost_RAMPPI,RunMaxComputeTimeMs_DRAMPPI,RunMaxComputeTimeMs_DRMPPI,RunMaxComputeTimeMs_MPPI,RunMaxComputeTimeMs_RAMPPI,AllOthersCollided,DROnlyNoCollision,DRMinDistanceAdvantage
60,1733223444,0.51088947057724,0.7203249335289001,0.24171951413154602,0.566939651966095,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.437562262639403,27.725660556927323,20.4675714019686,25.99617011845112,31.09242299979087,19.3800380002358,9.286217999033397,15.097202001925325,False,False,0.15338528156280518
61,1835544261,0.2633427679538727,0.6293993592262268,0.2351711243391037,0.6501597762107849,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.922393683344126,28.547647278755903,20.53761400654912,28.804965436458588,33.30477299823542,18.955622999783373,18.073109997203574,15.537654999207007,False,False,-0.020760416984558105
62,1403186970,0.07439108192920685,0.5745157599449158,0.2316751480102539,0.5224326848983765,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.90631785057485,28.336870167404413,20.541444834321737,27.233406338840723,33.950698998523876,18.873443001211854,11.961090996919665,15.791822999744909,False,False,0.05208307504653931
63,1291971777,0.058485403656959534,0.7130431532859802,0.2264883667230606,0.21736006438732147,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,26.304187757894397,26.957475466653705,20.57509882375598,27.57490904070437,32.6956409990089,18.94480100236251,10.438559998874553,15.646171999833314,True,True,0.4865547865629196
64,712292067,0.10339582711458206,0.6955086588859558,0.24330224096775055,0.6774984002113342,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.69966540299356,27.67596465535462,20.53529311902821,26.58285915479064,32.97482900234172,18.85189000313403,12.337359999946784,16.351422000298044,False,False,0.018010258674621582
65,2001429764,0.2514561712741852,0.6969234943389893,0.22664698958396912,0.6443085670471191,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.254818519577384,28.42327899672091,20.55564928241074,27.34009885787964,30.564783002773765,23.348693001025822,11.53775599959772,16.980117998173228,False,False,0.05261492729187012
66,1375664061,0.4863000214099884,0.6826796531677246,0.22914019227027893,0.648489773273468,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.36725298501551,30.390262523666024,20.580114832147956,27.46159360744059,34.869674000219675,18.84759000313352,10.15475299936952,15.921657999570016,False,False,0.03418987989425659
67,1556456120,0.6094282269477844,0.6798714995384216,0.24961429834365845,0.6300556063652039,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.74826261214912,27.869559846818447,20.518901417031884,27.395682068541646,35.082398000668036,19.061074999626726,9.98332499875687,16.152620999491774,False,False,0.04981589317321777
68,1576053187,0.0800805389881134,0.7202803492546082,0.24213282763957977,0.49789783358573914,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.199624666944146,29.011239156126976,20.64467049203813,26.33466094173491,33.20325799722923,18.874188001063885,9.477884999796515,16.26162899992778,False,False,0.22238251566886902
69,1848019881,0.12259698659181595,0.7253402471542358,0.2331596314907074,0.6601327657699585,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.402271630242467,27.234602320939302,20.535715602338314,26.458008356392384,35.55633900032262,18.738892998953816,12.298171001020819,15.36649099944043,False,False,0.06520748138427734
70,1508652585,0.11721420288085938,0.6965783834457397,0.23565363883972168,0.6570916175842285,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,24.85238559357822,28.01122364588082,20.57691547460854,27.54812460578978,33.17695299847401,18.780489997880068,9.736598996823886,15.483334002055926,False,False,0.03948676586151123
71,1995737731,0.39473214745521545,0.6038231253623962,0.24694065749645233,0.5205399990081787,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.87332220748067,26.932699097320437,20.560993183404207,31.73315127938986,37.76054800255224,18.986557999596698,11.559643000509823,17.710734999127453,False,False,0.08328312635421753
72,1162788447,0.10999709367752075,0.6280859112739563,0.2406538724899292,0.6515717506408691,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.822920432314277,26.626339748501778,20.538880301639438,26.944316409528255,46.04828799710958,19.294529000035254,16.002115000446793,21.463069999299478,False,False,-0.023485839366912842
73,1172925522,0.5761828422546387,0.7065610289573669,0.23515509068965912,0.5915374755859375,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.936097698286176,28.02381094917655,20.41457643173635,26.00430259667337,88.3578610009863,18.733938999503152,10.788334999233484,16.8712670019886,False,False,0.11502355337142944
74,539174575,0.10920652002096176,0.622139573097229,0.23214679956436157,0.5451115965843201,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.727157313376665,26.960033705458045,20.371013266965747,26.115859547629952,52.0860430005996,25.935772999218898,38.94239800138166,24.558010998589452,False,False,0.07702797651290894
