epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.002,85,710582861,0.03459278121590614,0.0,0.0,6.66231938789133,45.972621999680996
0.002,86,1463614337,-0.00496669253334403,1.0,1.0,6.859588655992411,46.441931976005435
0.002,87,1940152705,-0.02552330307662487,1.0,1.0,7.015893804375082,46.114821918308735
0.002,88,985452196,0.052978817373514175,0.0,0.0,6.823368592537008,46.413803938776255
0.002,89,552062587,-0.09948217868804932,1.0,1.0,7.195293095894158,45.655535999685526
0.002,90,623566272,-0.07042263448238373,1.0,1.0,7.441240620566532,46.26205004751682
0.002,91,729775797,-0.12134245038032532,1.0,1.0,7.357479577418417,47.05055500380695
0.002,92,1352536665,-0.12332505732774734,1.0,1.0,7.5327103399904445,46.67740687727928
0.002,93,555883440,0.026615960523486137,0.0,0.0,6.762082349858247,46.80108395405114
0.002,94,1801800003,-0.13554520905017853,1.0,1.0,7.367300795041956,46.196054900065064
0.002,95,763315502,-0.0024965310003608465,1.0,1.0,7.130090143531561,47.09781310521066
0.002,96,138897982,-0.09256765246391296,1.0,1.0,6.828717907425016,47.3791069816798
0.002,97,10785379,0.04008504003286362,0.0,0.0,7.213517837226391,47.22120217047632
0.002,98,53923185,0.06762801110744476,0.0,0.0,6.687539611128159,47.89707879535854
0.002,99,1349917978,-0.27546390891075134,1.0,1.0,8.456675073131919,48.11826208606362
0.003,0,1501552845,-0.06995922327041626,1.0,1.0,6.937418750603683,48.34546917118132
0.003,1,488200390,-0.004192535765469074,1.0,1.0,6.757951608975418,48.44648693688214
0.003,2,1693606510,-0.08524052053689957,1.0,1.0,7.772827937151305,48.078468069434166
0.003,3,680233354,0.06900675594806671,0.0,0.0,6.768570644198917,47.51104093156755
0.003,4,438466540,-0.07375381141901016,1.0,1.0,7.2921140774851665,47.059823060408235
0.003,5,1712329280,0.08417177200317383,0.0,0.0,6.902199245640077,48.171555856242776
0.003,6,1380152455,-0.12165957689285278,1.0,1.0,6.770179786835797,46.55897500924766
