Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalTrackingControlCost,TotalQSigmaInvStageCost,TotalQRStageCost,RunMaxComputeTimeMs
DRMPPI,17,0.38257768750190735,0.0,0.0,7.509529915638268,7.509529915638268,7.509529915638268,19.50603793375194
DRMPPI,18,0.38391080498695374,0.0,0.0,7.26561062107794,7.26561062107794,7.26561062107794,19.501453964039683
DRMPPI,19,0.3478408753871918,0.0,0.0,7.830853299587034,7.830853299587034,7.830853299587034,27.402422158047557
DRMPPI,20,0.7689735889434814,0.0,0.0,9.213732446311042,9.213732446311042,9.213732446311042,33.056274987757206
DRMPPI,21,0.3658667504787445,0.0,0.0,7.44920292601455,7.44920292601455,7.44920292601455,35.93366197310388
DRMPPI,22,0.3136932849884033,0.0,0.0,8.084255110938102,8.084255110938102,8.084255110938102,39.12696288898587
DRMPPI,23,0.31704768538475037,0.0,0.0,7.568947773776017,7.568947773776017,7.568947773776017,20.19496401771903
DRMPPI,24,0.37249523401260376,0.0,0.0,7.58357118233107,7.58357118233107,7.58357118233107,22.076884051784873
DRMPPI,25,1.178226113319397,0.0,0.0,6.812689943239093,6.812689943239093,6.812689943239093,19.30173602886498
DRMPPI,26,0.30940088629722595,0.0,0.0,7.381737136049196,7.381737136049196,7.381737136049196,19.513124134391546
DRMPPI,27,0.2799384593963623,0.0,0.0,7.803093784721568,7.803093784721568,7.803093784721568,34.81751983053982
DRMPPI,28,0.34589558839797974,0.0,0.0,8.48775942705106,8.48775942705106,8.48775942705106,19.25120293162763
DRMPPI,29,0.3484915494918823,0.0,0.0,7.83253287919797,7.83253287919797,7.83253287919797,19.311594078317285
